dates,US
2020-01-25,
2020-02-01,0.0018252146134493871
2020-02-08,0.0012168097422995913
2020-02-15,0.0006084048711497956
2020-02-22,0.0006084048711497956
2020-02-29,0.0027378219201740807
2020-03-07,0.1149885206473114
2020-03-14,0.7857548910899611
2020-03-21,7.01399555705042
2020-03-28,30.072540173627683
2020-04-04,59.74657515665224
2020-04-11,67.7501412366278
2020-04-18,60.59469154703506
2020-04-25,62.9026754257418
2020-05-02,58.53949989229105
2020-05-09,53.64731632337554
2020-05-16,47.906407959206064
2020-05-23,47.12521610464972
2020-05-30,44.73783539025793
2020-06-06,44.33567977042792
2020-06-13,44.83213814528615
2020-06-20,54.58973546878657
2020-06-27,77.34803228145141
2020-07-04,100.78926356198187
2020-07-11,123.47333498036645
2020-07-18,141.11555523153262
2020-07-25,141.5676000507969
2020-08-01,134.3500930643469
2020-08-08,113.92229111062136
2020-08-15,110.03549659128088
2020-08-22,93.15956227532786
2020-08-29,89.43855808337572
2020-09-05,88.12075313246527
2020-09-12,73.18228412868875
2020-09-19,85.95726541065659
2020-09-26,93.2751592008463
2020-10-03,91.9363642818812
2020-10-10,103.3034966920084
2020-10-17,118.21276226196974
2020-10-24,146.1531475646529
2020-10-31,170.79597846570428
2020-11-07,243.51283286796345
2020-11-14,312.34198014357537
2020-11-21,363.8045145746521
2020-11-28,349.0914595756365
2020-12-05,409.67489563255526
2020-12-12,454.41546884473337
2020-12-19,460.1414712895597
2020-12-26,403.6285680230687
2021-01-02,436.72944344284446
2021-01-09,474.66695999999996
2021-01-16,480.0537
2021-01-23,430.4344
2021-01-30,459.19115999999997
