dates,01,02,04,05,06,08,09,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,45,46,47,48,49,50,51,53,54,55,56
2022-02-12,364.0,1121.0,565.0,812.0,432.0,407.0,144.0,244.0,367.0,492.0,328.0,476.0,504.0,357.0,529.0,353.0,466.0,811.0,494.0,402.0,197.0,323.0,400.0,456.0,953.0,403.0,615.0,287.0,299.0,397.0,200.0,556.0,272.0,488.0,597.0,374.0,472.0,524.0,279.0,386.0,533.0,311.0,1515.0,624.0,310.0,309.0,366.0,408.0,708.0,279.0,492.0
2022-02-19,194.0,678.0,363.0,813.0,194.0,396.0,107.0,256.0,416.0,480.0,263.0,254.0,401.0,348.0,541.0,340.0,367.0,546.0,508.0,315.0,248.0,236.0,312.0,216.0,783.0,404.0,329.0,252.0,184.0,279.0,239.0,338.0,329.0,175.0,389.0,488.0,326.0,316.0,290.0,336.0,238.0,265.0,1182.0,598.0,78.0,194.0,261.0,24.0,433.0,195.0,243.0
2022-02-26,310.0,619.0,392.0,783.0,189.0,438.0,234.0,390.0,350.0,583.0,342.0,220.0,491.0,426.0,581.0,511.0,422.0,454.0,653.0,355.0,333.0,317.0,363.0,243.0,776.0,429.0,374.0,413.0,271.0,358.0,368.0,336.0,464.0,150.0,480.0,562.0,332.0,294.0,423.0,440.0,281.0,475.0,1025.0,575.0,159.0,254.0,303.0,0.0,463.0,403.0,306.0
2022-03-05,562.0,713.0,591.0,868.0,394.0,592.0,451.0,618.0,547.0,778.0,587.0,345.0,627.0,618.0,705.0,689.0,580.0,582.0,883.0,396.0,530.0,541.0,524.0,406.0,846.0,538.0,478.0,619.0,491.0,485.0,621.0,471.0,741.0,515.0,684.0,729.0,494.0,362.0,646.0,681.0,628.0,712.0,1012.0,673.0,491.0,448.0,539.0,107.0,701.0,651.0,466.0
